player_name,pass_count
Chris Perry,4
Danny Murphy,4
Dean Sturridge,4
Rohan Ricketts,4
Dean Richards,4
Trevor Benjamin,3
Kevin Campbell,3
Paul Brooker,2
Shola Ameobi,2
Danny Coyne,2
Ugo Ehiogu,1
Gustavo Augusto Poyet Domínguez,1
Liam Ridgewell,1
